ID,Date,Sentiment
0,2022-09-22,2
1,2022-09-20,2
2,2022-09-15,2
3,2022-09-12,2
4,2022-09-11,2
5,2022-08-31,2
6,2022-08-18,2
7,2022-08-04,1
8,2022-07-12,1
9,2022-07-10,1
10,2022-06-28,2
11,2022-06-27,2
12,2022-06-13,2
13,2022-06-02,2
14,2022-05-26,2
15,2022-05-24,2
16,2022-05-20,2
17,2022-05-20,2
18,2022-05-18,2
19,2022-05-17,2
20,2022-05-16,2
21,2022-05-16,2
22,2022-05-13,2
23,2021-09-07,2
24,2021-07-31,2
25,2021-05-28,1
26,2020-12-27,2
27,2020-12-14,2
28,2020-12-08,2
29,2020-11-24,2
30,2020-11-18,2
31,2020-11-11,2
32,2020-10-02,0
33,2020-08-19,2
34,2020-06-05,2
35,2020-05-10,1
36,2020-04-22,1
37,2020-04-06,2
38,2019-09-27,2
39,2019-02-14,1
40,2019-02-08,2
41,2019-01-12,1
42,2018-11-24,2
43,2018-10-27,2
44,2014-04-13,2
45,2014-04-13,2
46,2014-04-13,2
47,2014-04-13,1
48,2014-04-12,2
49,2014-04-12,2
50,2014-04-12,2
51,2014-04-06,2
52,2014-04-06,1
53,2014-04-06,2
54,2014-04-06,1
55,2014-04-06,2
56,2014-04-05,2
57,2014-04-05,2
58,2014-04-05,1
59,2014-04-05,2
60,2014-04-05,2
61,2014-04-05,2
62,2014-03-30,2
63,2014-03-30,2
64,2014-03-30,2
65,2014-03-30,2
66,2014-03-30,2
67,2014-03-30,2
68,2014-03-30,2
69,2014-03-29,2
70,2014-03-29,3
71,2014-03-29,1
72,2014-03-29,2
73,2014-03-29,2
74,2014-03-29,2
75,2014-03-23,2
76,2014-03-23,1
77,2014-03-23,2
78,2014-03-22,2
79,2014-03-22,2
80,2014-03-22,2
81,2014-03-22,2
82,2014-03-22,1
83,2014-03-16,2
84,2014-03-16,2
85,2014-03-15,2
86,2014-03-15,2
87,2014-03-15,2
88,2014-03-15,2
89,2014-03-15,2
90,2014-03-15,2
91,2014-03-15,2
92,2014-03-09,2
93,2014-03-09,2
94,2014-03-09,2
95,2014-03-09,2
96,2014-03-09,2
